areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2020-04-04,4009
K02000001,United Kingdom,overview,2020-04-03,4889
K02000001,United Kingdom,overview,2020-04-02,4855
K02000001,United Kingdom,overview,2020-04-01,4933
K02000001,United Kingdom,overview,2020-03-31,4513
K02000001,United Kingdom,overview,2020-03-30,4260
K02000001,United Kingdom,overview,2020-03-29,2855
K02000001,United Kingdom,overview,2020-03-28,2815
K02000001,United Kingdom,overview,2020-03-27,3184
K02000001,United Kingdom,overview,2020-03-26,3084
K02000001,United Kingdom,overview,2020-03-25,2688
K02000001,United Kingdom,overview,2020-03-24,2371
K02000001,United Kingdom,overview,2020-03-23,2324
K02000001,United Kingdom,overview,2020-03-22,1373
K02000001,United Kingdom,overview,2020-03-21,1194
K02000001,United Kingdom,overview,2020-03-20,1260
K02000001,United Kingdom,overview,2020-03-19,1048
K02000001,United Kingdom,overview,2020-03-18,991
K02000001,United Kingdom,overview,2020-03-17,788
K02000001,United Kingdom,overview,2020-03-16,601
K02000001,United Kingdom,overview,2020-03-15,441
K02000001,United Kingdom,overview,2020-03-14,362
K02000001,United Kingdom,overview,2020-03-13,480
K02000001,United Kingdom,overview,2020-03-12,482
K02000001,United Kingdom,overview,2020-03-11,403
K02000001,United Kingdom,overview,2020-03-10,266
K02000001,United Kingdom,overview,2020-03-09,147
K02000001,United Kingdom,overview,2020-03-08,57
K02000001,United Kingdom,overview,2020-03-07,68
K02000001,United Kingdom,overview,2020-03-06,81
K02000001,United Kingdom,overview,2020-03-05,50
K02000001,United Kingdom,overview,2020-03-04,56
K02000001,United Kingdom,overview,2020-03-03,57
K02000001,United Kingdom,overview,2020-03-02,39
K02000001,United Kingdom,overview,2020-03-01,22
K02000001,United Kingdom,overview,2020-02-29,5
K02000001,United Kingdom,overview,2020-02-28,12
K02000001,United Kingdom,overview,2020-02-27,8
K02000001,United Kingdom,overview,2020-02-26,4
K02000001,United Kingdom,overview,2020-02-25,5
K02000001,United Kingdom,overview,2020-02-24,2
K02000001,United Kingdom,overview,2020-02-23,1
K02000001,United Kingdom,overview,2020-02-22,0
K02000001,United Kingdom,overview,2020-02-21,1
K02000001,United Kingdom,overview,2020-02-20,0
K02000001,United Kingdom,overview,2020-02-19,0
K02000001,United Kingdom,overview,2020-02-18,0
K02000001,United Kingdom,overview,2020-02-17,0
K02000001,United Kingdom,overview,2020-02-16,0
K02000001,United Kingdom,overview,2020-02-15,0
K02000001,United Kingdom,overview,2020-02-14,0
K02000001,United Kingdom,overview,2020-02-13,0
K02000001,United Kingdom,overview,2020-02-12,0
K02000001,United Kingdom,overview,2020-02-11,1
K02000001,United Kingdom,overview,2020-02-10,0
K02000001,United Kingdom,overview,2020-02-09,1
K02000001,United Kingdom,overview,2020-02-08,4
K02000001,United Kingdom,overview,2020-02-07,0
K02000001,United Kingdom,overview,2020-02-06,0
K02000001,United Kingdom,overview,2020-02-05,1
K02000001,United Kingdom,overview,2020-02-04,0
K02000001,United Kingdom,overview,2020-02-03,0
K02000001,United Kingdom,overview,2020-02-02,0
K02000001,United Kingdom,overview,2020-02-01,0
K02000001,United Kingdom,overview,2020-01-31,0
K02000001,United Kingdom,overview,2020-01-30,2
